turn_bin,condition,mean_entropy,n
0,full,1.0952,74
4,full,0.9141,101
8,full,0.8364,100
12,full,0.8051,100
16,full,0.8239,95
20,full,0.7506,74
24,full,0.6908,58
28,full,0.5944,41
32,full,0.7274,32
36,full,0.5246,26
40,full,0.6131,18
44,full,0.2911,16
0,masked,1.1133,74
4,masked,0.9561,101
8,masked,0.8755,100
12,masked,0.7986,100
16,masked,0.8563,95
20,masked,0.7646,74
24,masked,0.7360,58
28,masked,0.6487,41
32,masked,0.7822,32
36,masked,0.6493,26
40,masked,0.5780,18
44,masked,0.3977,16
0,trunc-5,1.0952,74
4,trunc-5,0.9773,101
8,trunc-5,0.8684,100
12,trunc-5,0.8265,100
16,trunc-5,0.8822,95
20,trunc-5,0.8323,74
24,trunc-5,0.7488,58
28,trunc-5,0.7915,41
32,trunc-5,0.8898,32
36,trunc-5,0.8078,26
40,trunc-5,0.7804,18
44,trunc-5,0.4837,16
0,stateless,1.0558,76
4,stateless,0.9570,99
8,stateless,0.8726,93
12,stateless,0.8819,100
16,stateless,0.8278,95
20,stateless,0.8012,78
24,stateless,0.7912,63
28,stateless,0.8753,44
32,stateless,0.9482,33
36,stateless,0.9776,26
40,stateless,1.0141,15
44,stateless,0.5300,17
