games,gxe,elo,rd
2,40.2,1000,116.5
2,40.2,1000,116.5
3,43.3,1047,112.0
4,47.7,1082,107.4
5,50.7,1113,103.0
5,50.7,1113,103.0
5,50.7,1113,103.0
6,54.5,1142,98.9
6,54.5,1142,98.9
6,54.5,1142,98.9
6,54.5,1142,98.9
7,57,1169,95.4
8,59.5,1194,92.1
8,59.5,1194,92.1
8,59.5,1194,92.1
9,61.6,1221,89.1
9,61.6,1221,89.1
9,61.6,1221,89.1
9,61.6,1221,89.1
11,65.1,1269,83.9
11,65.1,1269,83.9
12,66.6,1293,81.6
13,68.4,1320,79.8
13,68.4,1320,79.8
13,68.4,1320,79.8
13,68.4,1320,79.8
14,69.8,1342,77.8
14,69.8,1342,77.8
15,71,1363,76.0
15,71,1363,76.0
15,71,1363,76.0
15,71,1363,76.0
16,71.8,1383,74.3
16,71.8,1383,74.3
16,71.8,1383,74.3
17,69.6,1364,72.7
18,70.6,1381,71.2
18,70.6,1381,71.2
18,70.6,1381,71.2
19,71.9,1401,69.9
20,73,1423,68.6
20,73,1423,68.6
22,74.7,1466,66.2
22,74.7,1466,66.2
22,74.7,1466,66.2
22,74.7,1466,66.2
23,75.5,1488,65.1
24,76.8,1508,64.4
24,76.8,1508,64.4
25,77.7,1526,63.5
25,77.7,1526,63.5
25,77.7,1526,63.5
25,77.7,1526,63.5
26,78.3,1542,62.6
26,78.3,1542,62.6
27,79.1,1564,61.8
27,79.1,1564,61.8
27,79.1,1564,61.8
28,77.9,1541,60.9
28,77.9,1541,60.9
28,77.9,1541,60.9
29,78.7,1562,60.2
29,78.7,1562,60.2
29,78.7,1562,60.2
30,79.4,1585,59.5
30,79.4,1585,59.5
31,80.2,1606,58.8
31,80.2,1606,58.8
32,80.8,1624,58.1
32,80.8,1624,58.1
33,79.9,1605,57.5
33,79.9,1605,57.5
34,78.9,1583,56.8
34,78.9,1583,56.8
34,78.9,1583,56.8
34,78.9,1583,56.8
34,78.9,1583,56.8
34,78.9,1583,56.8
35,79.6,1603,56.3
36,80.4,1623,55.7
36,80.4,1623,55.7
37,79.5,1602,55.2
37,79.5,1602,55.2
38,80.2,1625,54.7
38,80.2,1625,54.7
38,80.2,1625,54.7
39,79.5,1606,54.2
39,79.5,1606,54.2
40,80,1623,53.6
41,80.6,1645,53.1
41,80.6,1645,53.1
42,81.2,1669,52.7
42,81.2,1669,52.7
42,81.2,1669,52.7
42,81.2,1669,52.7
42,81.2,1669,52.7
42,81.2,1669,52.7
42,81.2,1669,52.7
43,80.2,1650,52.2
44,80.9,1668,51.8
44,80.9,1668,51.8
44,80.9,1668,51.8
45,81.6,1692,51.5
45,81.6,1692,51.5
45,81.6,1692,51.5
46,82.1,1712,51.1
46,82.1,1712,51.1
47,82.6,1730,50.7
47,82.6,1730,50.7
47,82.6,1730,50.7
48,83.2,1751,50.4
48,83.2,1751,50.4
48,83.2,1751,50.4
48,83.2,1751,50.4
50,83,1748,49.6
50,83,1748,49.6
51,83.5,1770,49.2
51,83.5,1770,49.2
52,84,1792,48.9
52,84,1792,48.9
52,84,1792,48.9
52,84,1792,48.9
53,84.5,1811,48.6
53,84.5,1811,48.6
53,84.5,1811,48.6
54,84.9,1831,48.3
54,84.9,1831,48.3
55,85.3,1852,48.0
55,85.3,1852,48.0
55,85.3,1852,48.0
56,85.7,1869,47.7
56,85.7,1869,47.7
57,86.1,1885,47.4
57,86.1,1885,47.4
57,86.1,1885,47.4
57,86.1,1885,47.4
57,86.1,1885,47.4
58,85.7,1861,47.1
58,85.7,1861,47.1
58,85.7,1861,47.1
59,86.1,1885,46.8
59,86.1,1885,46.8
60,86.4,1906,46.5
60,86.4,1906,46.5
61,86.8,1924,46.3
61,86.8,1924,46.3
61,86.8,1924,46.3
61,86.8,1924,46.3
62,86.4,1907,46.1
62,86.4,1907,46.1
63,86.9,1923,45.8
63,86.9,1923,45.8
64,87.2,1939,45.6
64,87.2,1939,45.6
64,87.2,1939,45.6
65,87.6,1957,45.4
66,87.8,1971,45.1
66,87.8,1971,45.1
66,87.8,1971,45.1
67,87.5,1951,44.9
67,87.5,1951,44.9
67,87.5,1951,44.9
68,87.9,1965,44.7
69,88.3,1988,44.6
69,88.3,1988,44.6
69,88.3,1988,44.6
70,88,1970,44.4
71,87.7,1953,44.1
71,87.7,1953,44.1
71,87.7,1953,44.1
71,87.7,1953,44.1
72,87.5,1939,44.0
72,87.5,1939,44.0
72,87.5,1939,44.0
72,87.5,1939,44.0
73,87.2,1921,43.8
73,87.2,1921,43.8
73,87.2,1921,43.8
73,87.2,1921,43.8
73,87.2,1921,43.8
74,86.8,1897,43.6
74,86.8,1897,43.6
75,87,1913,43.3
76,87.2,1932,43.0
76,87.2,1932,43.0
76,87.2,1932,43.0
76,87.2,1932,43.0
77,87.5,1951,42.8
77,87.5,1951,42.8
77,87.5,1951,42.8
77,87.5,1951,42.8
78,87.9,1969,42.7
78,87.9,1969,42.7
79,88.2,1989,42.5
79,88.2,1989,42.5
79,88.2,1989,42.5
80,87.9,1965,42.3
82,87.9,1970,42.0
82,87.9,1970,42.0
82,87.9,1970,42.0
83,88.2,1993,41.8
84,88.5,2014,41.6
84,88.5,2014,41.6
85,88.8,2034,41.5
86,89.1,2063,41.3
86,89.1,2063,41.3
86,89.1,2063,41.3
87,89.4,2081,41.2
87,89.4,2081,41.2
87,89.4,2081,41.2
88,89.2,2072,41.1
88,89.2,2072,41.1
88,89.2,2072,41.1
89,89.5,2094,41.0
90,89.8,2111,40.8
90,89.8,2111,40.8
90,89.8,2111,40.8
91,90.1,2128,40.7
91,90.1,2128,40.7
91,90.1,2128,40.7
91,90.1,2128,40.7
92,89.9,2106,40.6
92,89.9,2106,40.6
93,89.8,2088,40.5
94,89.5,2065,40.3
94,89.5,2065,40.3
95,89.7,2086,40.6
95,89.7,2086,40.6
95,89.7,2086,40.6
