games,gxe,elo,rd
1,55,1040,122.9
1,55,1040,122.9
1,55,1040,122.9
1,55,1040,122.9
2,59,1072,116.8
2,59,1072,116.8
3,61.2,1101,111.4
4,64,1124,106.8
4,64,1124,106.8
5,66,1148,102.3
5,66,1148,102.3
5,66,1148,102.3
5,66,1148,102.3
6,67.3,1170,98.4
6,67.3,1170,98.4
7,68.9,1196,94.7
8,70.1,1222,91.6
8,70.1,1222,91.6
9,71.3,1248,88.7
9,71.3,1248,88.7
10,72.5,1277,85.9
10,72.5,1277,85.9
10,72.5,1277,85.9
11,73.4,1300,83.5
11,73.4,1300,83.5
11,73.4,1300,83.5
12,74.4,1321,81.2
12,74.4,1321,81.2
13,75.5,1342,79.1
13,75.5,1342,79.1
13,75.5,1342,79.1
13,75.5,1342,79.1
14,76.2,1361,77.2
14,76.2,1361,77.2
16,71.9,1320,73.9
16,71.9,1320,73.9
16,71.9,1320,73.9
16,71.9,1320,73.9
16,71.9,1320,73.9
17,69.6,1302,72.3
18,70.5,1324,70.8
19,71.7,1344,69.4
19,71.7,1344,69.4
20,72.4,1366,68.1
20,72.4,1366,68.1
20,72.4,1366,68.1
21,70.5,1345,66.9
22,71.3,1365,65.7
22,71.3,1365,65.7
23,69.6,1350,64.7
23,69.6,1350,64.7
24,70.3,1369,63.6
24,70.3,1369,63.6
24,70.3,1369,63.6
24,70.3,1369,63.6
25,69,1350,62.7
25,69,1350,62.7
26,67.4,1330,61.9
26,67.4,1330,61.9
27,68.3,1352,61.0
27,68.3,1352,61.0
28,68.9,1368,60.1
28,68.9,1368,60.1
29,69.5,1385,59.2
30,70.3,1406,58.4
31,71.3,1424,57.7
31,71.3,1424,57.7
32,71.9,1446,57.0
32,71.9,1446,57.0
32,71.9,1446,57.0
33,72.3,1464,56.2
33,72.3,1464,56.2
34,73,1483,55.5
34,73,1483,55.5
34,73,1483,55.5
34,73,1483,55.5
35,72.1,1463,55.0
35,72.1,1463,55.0
35,72.1,1463,55.0
36,71,1443,54.4
36,71,1443,54.4
36,71,1443,54.4
36,71,1443,54.4
36,71,1443,54.4
37,69.9,1423,53.8
38,70.6,1443,53.2
38,70.6,1443,53.2
39,71.2,1462,52.6
39,71.2,1462,52.6
39,71.2,1462,52.6
39,71.2,1462,52.6
39,71.2,1462,52.6
40,71.9,1484,52.0
40,71.9,1484,52.0
41,70.9,1465,51.5
41,70.9,1465,51.5
41,70.9,1465,51.5
41,70.9,1465,51.5
41,70.9,1465,51.5
41,70.9,1465,51.5
42,71.5,1482,51.0
42,71.5,1482,51.0
44,72.8,1519,50.0
44,72.8,1519,50.0
44,72.8,1519,50.0
44,72.8,1519,50.0
44,72.8,1519,50.0
45,71.9,1499,49.6
45,71.9,1499,49.6
45,71.9,1499,49.6
47,73.3,1543,48.8
47,73.3,1543,48.8
48,72.6,1523,48.4
48,72.6,1523,48.4
49,73.1,1544,48.0
49,73.1,1544,48.0
49,73.1,1544,48.0
49,73.1,1544,48.0
50,72.3,1521,47.5
50,72.3,1521,47.5
50,72.3,1521,47.5
51,72.9,1542,47.1
51,72.9,1542,47.1
52,73.6,1565,46.9
52,73.6,1565,46.9
53,73.1,1550,46.6
54,72.4,1533,46.2
54,72.4,1533,46.2
54,72.4,1533,46.2
54,72.4,1533,46.2
55,71.9,1514,46.0
55,71.9,1514,46.0
56,72.4,1532,45.6
56,72.4,1532,45.6
56,72.4,1532,45.6
57,71.7,1514,45.2
57,71.7,1514,45.2
58,72.3,1535,45.0
58,72.3,1535,45.0
58,72.3,1535,45.0
59,72.8,1552,44.7
60,73.3,1570,44.3
60,73.3,1570,44.3
61,73.8,1592,44.5
61,73.8,1592,44.5
62,74.3,1614,44.1
62,74.3,1614,44.1
63,74.8,1634,43.8
63,74.8,1634,43.8
63,74.8,1634,43.8
64,75.2,1653,43.5
64,75.2,1653,43.5
64,75.2,1653,43.5
64,75.2,1653,43.5
64,75.2,1653,43.5
64,75.2,1653,43.5
64,75.2,1653,43.5
65,74.7,1636,43.1
65,74.7,1636,43.1
65,74.7,1636,43.1
66,75.2,1655,42.8
66,75.2,1655,42.8
66,75.2,1655,42.8
67,75.6,1675,42.5
68,76,1695,42.2
68,76,1695,42.2
68,76,1695,42.2
69,76.4,1716,41.9
70,76.9,1738,41.6
70,76.9,1738,41.6
71,77.3,1752,41.3
71,77.3,1752,41.3
72,77.8,1777,41.0
72,77.8,1777,41.0
72,77.8,1777,41.0
72,77.8,1777,41.0
72,77.8,1777,41.0
73,78.2,1794,40.7
74,78.6,1814,40.5
75,78.2,1791,40.2
75,78.2,1791,40.2
76,77.9,1770,40.0
76,77.9,1770,40.0
76,77.9,1770,40.0
77,77.5,1750,39.7
77,77.5,1750,39.7
77,77.5,1750,39.7
78,77,1724,39.5
78,77,1724,39.5
79,76.5,1702,39.2
79,76.5,1702,39.2
80,76.9,1724,39.0
81,77.3,1746,38.8
81,77.3,1746,38.8
81,77.3,1746,38.8
82,77.6,1765,38.5
82,77.6,1765,38.5
83,77.2,1742,38.3
83,77.2,1742,38.3
83,77.2,1742,38.3
83,77.2,1742,38.3
83,77.2,1742,38.3
83,77.2,1742,38.3
83,77.2,1742,38.3
84,76.8,1725,38.1
85,77.1,1745,37.8
85,77.1,1745,37.8
86,76.7,1723,37.6
87,77.1,1745,37.4
87,77.1,1745,37.4
87,77.1,1745,37.4
88,77.5,1765,37.2
88,77.5,1765,37.2
88,77.5,1765,37.2
89,77.8,1784,37.0
90,78.2,1802,36.8
90,78.2,1802,36.8
90,78.2,1802,36.8
91,78.5,1819,36.6
91,78.5,1819,36.6
91,78.5,1819,36.6
91,78.5,1819,36.6
92,78.8,1836,36.4
93,79.2,1853,36.2
93,79.2,1853,36.2
94,79.5,1874,36.0
94,79.5,1874,36.0
95,79.1,1853,35.8
95,79.1,1853,35.8
95,79.1,1853,35.8
96,79.4,1869,35.7
96,79.4,1869,35.7
98,80,1907,35.3
98,80,1907,35.3
98,80,1907,35.3
99,79.7,1881,35.1
99,79.7,1881,35.1
99,79.7,1881,35.1
99,79.7,1881,35.1
101,80.3,1918,34.8
101,80.3,1918,34.8
101,80.3,1918,34.8
102,80.6,1941,34.6
102,80.6,1941,34.6
103,80.9,1964,34.5
103,80.9,1964,34.5
103,80.9,1964,34.5
103,80.9,1964,34.5
103,80.9,1964,34.5
104,81.2,1985,34.3
104,81.2,1985,34.3
105,81,1964,34.2
106,80.7,1940,34.0
106,80.7,1940,34.0
107,81,1957,33.9
107,81,1957,33.9
108,81.3,1978,33.7
108,81.3,1978,33.7
108,81.3,1978,33.7
108,81.3,1978,33.7
109,81,1955,33.6
109,81,1955,33.6
110,80.7,1930,33.4
110,80.7,1930,33.4
110,80.7,1930,33.4
110,80.7,1930,33.4
110,80.7,1930,33.4
110,80.7,1930,33.4
112,80.7,1938,33.1
112,80.7,1938,33.1
112,80.7,1938,33.1
112,80.7,1938,33.1
112,80.7,1938,33.1
113,80.9,1954,33.0
113,80.9,1954,33.0
114,81.2,1977,32.9
114,81.2,1977,32.9
114,81.2,1977,32.9
116,80.7,1938,32.6
116,80.7,1938,32.6
116,80.7,1938,32.6
116,80.7,1938,32.6
116,80.7,1938,32.6
117,81,1959,32.5
117,81,1959,32.5
117,81,1959,32.5
117,81,1959,32.5
119,80.6,1921,32.2
119,80.6,1921,32.2
119,80.6,1921,32.2
119,80.6,1921,32.2
119,80.6,1921,32.2
120,80.8,1940,32.1
120,80.8,1940,32.1
121,80.6,1923,32.0
122,80.9,1943,31.8
122,80.9,1943,31.8
123,81.1,1961,31.7
123,81.1,1961,31.7
124,81.4,1986,31.6
125,81.6,2005,31.5
126,81.9,2022,31.4
126,81.9,2022,31.4
126,81.9,2022,31.4
127,82.1,2043,31.3
127,82.1,2043,31.3
128,82.3,2060,31.1
128,82.3,2060,31.1
128,82.3,2060,31.1
129,82.1,2045,31.0
129,82.1,2045,31.0
130,82.3,2059,30.9
131,82.1,2039,30.8
131,82.1,2039,30.8
132,82.3,2061,30.7
132,82.3,2061,30.7
133,82.1,2042,30.6
133,82.1,2042,30.6
133,82.1,2042,30.6
134,81.9,2020,30.5
134,81.9,2020,30.5
134,81.9,2020,30.5
134,81.9,2020,30.5
135,82.2,2041,30.4
135,82.2,2041,30.4
135,82.2,2041,30.4
136,82,2020,30.3
136,82,2020,30.3
137,81.8,1999,30.2
137,81.8,1999,30.2
137,81.8,1999,30.2
138,81.6,1976,30.1
138,81.6,1976,30.1
138,81.6,1976,30.1
138,81.6,1976,30.1
139,81.7,1993,30.0
139,81.7,1993,30.0
139,81.7,1993,30.0
139,81.7,1993,30.0
139,81.7,1993,30.0
139,81.7,1993,30.0
139,81.7,1993,30.0
139,81.7,1993,30.0
139,81.7,1993,30.0
