games,gxe,elo,rd
272,91.2,2198,29.1
272,91.2,2198,29.1
272,91.2,2198,29.1
273,91.2,2215,29.0
273,91.2,2215,29.0
273,91.2,2215,29.0
274,91.3,2232,28.9
274,91.3,2232,28.9
274,91.3,2232,28.9
274,91.3,2232,28.9
274,91.3,2232,28.9
274,91.3,2232,28.9
275,91.2,2209,28.8
275,91.2,2209,28.8
275,91.2,2209,28.8
276,91.3,2235,28.7
276,91.3,2235,28.7
276,91.3,2235,28.7
276,91.3,2235,28.7
276,91.3,2235,28.7
277,91.2,2218,28.6
278,91,2194,28.6
278,91,2194,28.6
278,91,2194,28.6
278,91,2194,28.6
279,91.1,2214,28.5
279,91.1,2214,28.5
279,91.1,2214,28.5
280,91,2191,28.4
280,91,2191,28.4
281,91.1,2211,28.3
281,91.1,2211,28.3
281,91.1,2211,28.3
282,90.9,2186,28.2
283,91,2204,28.1
284,90.9,2189,28.0
284,90.9,2189,28.0
285,91,2216,27.9
285,91,2216,27.9
285,91,2216,27.9
285,91,2216,27.9
286,90.9,2197,27.9
286,90.9,2197,27.9
286,90.9,2197,27.9
287,91,2209,27.8
287,91,2209,27.8
288,91,2226,27.7
288,91,2226,27.7
289,91.1,2243,27.6
289,91.1,2243,27.6
289,91.1,2243,27.6
290,91,2227,27.5
290,91,2227,27.5
290,91,2227,27.5
290,91,2227,27.5
290,91,2227,27.5
291,90.9,2211,27.4
292,90.8,2190,27.4
292,90.8,2190,27.4
292,90.8,2190,27.4
292,90.8,2190,27.4
292,90.8,2190,27.4
293,90.9,2204,27.3
294,90.8,2183,27.2
294,90.8,2183,27.2
294,90.8,2183,27.2
295,90.6,2166,27.1
295,90.6,2166,27.1
295,90.6,2166,27.1
296,90.7,2185,27.1
297,90.8,2204,27.0
297,90.8,2204,27.0
297,90.8,2204,27.0
297,90.8,2204,27.0
298,90.9,2220,26.9
298,90.9,2220,26.9
298,90.9,2220,26.9
298,90.9,2220,26.9
299,90.7,2193,26.8
299,90.7,2193,26.8
299,90.7,2193,26.8
300,90.8,2215,26.8
300,90.8,2215,26.8
301,90.9,2229,26.7
301,90.9,2229,26.7
301,90.9,2229,26.7
302,90.8,2209,26.6
302,90.8,2209,26.6
302,90.8,2209,26.6
303,90.9,2229,26.5
303,90.9,2229,26.5
304,90.8,2206,26.5
304,90.8,2206,26.5
305,90.8,2229,26.4
305,90.8,2229,26.4
305,90.8,2229,26.4
305,90.8,2229,26.4
305,90.8,2229,26.4
306,90.7,2208,26.3
306,90.7,2208,26.3
306,90.7,2208,26.3
306,90.7,2208,26.3
306,90.7,2208,26.3
307,90.8,2220,26.3
307,90.8,2220,26.3
307,90.8,2220,26.3
308,90.9,2243,26.2
308,90.9,2243,26.2
308,90.9,2243,26.2
308,90.9,2243,26.2
308,90.9,2243,26.2
308,90.9,2243,26.2
308,90.9,2243,26.2
309,91,2270,26.1
309,91,2270,26.1
310,91,2282,26.1
310,91,2282,26.1
310,91,2282,26.1
311,91.1,2294,26.0
311,91.1,2294,26.0
311,91.1,2294,26.0
311,91.1,2294,26.0
312,91,2276,25.9
312,91,2276,25.9
313,90.9,2255,25.8
313,90.9,2255,25.8
313,90.9,2255,25.8
313,90.9,2255,25.8
314,91,2271,25.8
314,91,2271,25.8
314,91,2271,25.8
315,90.9,2248,25.7
315,90.9,2248,25.7
316,91,2266,25.6
316,91,2266,25.6
316,91,2266,25.6
317,91,2285,25.6
318,90.9,2259,25.5
318,90.9,2259,25.5
318,90.9,2259,25.5
318,90.9,2259,25.5
319,91,2285,25.4
319,91,2285,25.4
319,91,2285,25.4
319,91,2285,25.4
319,91,2285,25.4
320,91.1,2300,25.4
320,91.1,2300,25.4
321,91.2,2327,25.3
321,91.2,2327,25.3
321,91.2,2327,25.3
322,91.2,2337,25.3
322,91.2,2337,25.3
322,91.2,2337,25.3
323,91.1,2319,25.2
323,91.1,2319,25.2
323,91.1,2319,25.2
323,91.1,2319,25.2
323,91.1,2319,25.2
324,91.1,2299,25.1
324,91.1,2299,25.1
324,91.1,2299,25.1
325,91,2274,25.1
325,91,2274,25.1
325,91,2274,25.1
325,91,2274,25.1
326,91.1,2295,25.0
326,91.1,2295,25.0
326,91.1,2295,25.0
326,91.1,2295,25.0
327,91,2270,25.0
327,91,2270,25.0
327,91,2270,25.0
328,90.9,2242,25.0
328,90.9,2242,25.0
328,90.9,2242,25.0
328,90.9,2242,25.0
328,90.9,2242,25.0
329,90.8,2222,25.0
330,90.7,2204,25.9
330,90.7,2204,25.9
330,90.7,2204,25.9
331,90.8,2224,25.8
332,90.8,2240,25.7
332,90.8,2240,25.7
332,90.8,2240,25.7
333,90.9,2253,25.7
333,90.9,2253,25.7
333,90.9,2253,25.7
