games,gxe,elo,rd
4,56.2,1081,106.0
4,56.2,1081,106.0
5,58.7,1111,102.1
5,58.7,1111,102.1
5,58.7,1111,102.1
5,58.7,1111,102.1
6,52.9,1085,99.3
6,52.9,1085,99.3
6,52.9,1085,99.3
7,55.6,1113,95.9
7,55.6,1113,95.9
8,57.9,1134,92.8
8,57.9,1134,92.8
8,57.9,1134,92.8
8,57.9,1134,92.8
9,60.2,1157,90.2
9,60.2,1157,90.2
10,62,1184,87.5
10,62,1184,87.5
10,62,1184,87.5
11,63.7,1210,85.1
11,63.7,1210,85.1
11,63.7,1210,85.1
12,65.1,1235,82.9
12,65.1,1235,82.9
13,66.7,1260,80.7
13,66.7,1260,80.7
14,63.9,1235,78.7
14,63.9,1235,78.7
14,63.9,1235,78.7
15,65.3,1262,76.9
16,66.1,1287,75.4
16,66.1,1287,75.4
17,63.7,1265,73.7
18,65.4,1293,72.1
19,67.2,1318,70.9
19,67.2,1318,70.9
21,69.4,1357,68.1
21,69.4,1357,68.1
22,70.5,1378,66.9
22,70.5,1378,66.9
23,68.8,1357,65.7
24,69.7,1374,64.6
24,69.7,1374,64.6
25,70.8,1396,63.5
25,70.8,1396,63.5
25,70.8,1396,63.5
25,70.8,1396,63.5
26,71.7,1413,62.5
26,71.7,1413,62.5
27,72.5,1433,61.6
27,72.5,1433,61.6
28,73.3,1455,60.6
29,74.2,1478,59.8
29,74.2,1478,59.8
29,74.2,1478,59.8
29,74.2,1478,59.8
30,72.8,1455,59.0
30,72.8,1455,59.0
31,73.5,1472,58.1
32,74.3,1493,57.4
32,74.3,1493,57.4
32,74.3,1493,57.4
32,74.3,1493,57.4
34,72.1,1452,56.0
34,72.1,1452,56.0
34,72.1,1452,56.0
34,72.1,1452,56.0
35,70.8,1429,55.3
35,70.8,1429,55.3
35,70.8,1429,55.3
36,71.3,1449,54.6
37,72.1,1470,54.0
37,72.1,1470,54.0
37,72.1,1470,54.0
38,72.8,1487,53.4
38,72.8,1487,53.4
39,71.7,1469,52.8
39,71.7,1469,52.8
39,71.7,1469,52.8
40,72.5,1489,52.3
41,73.3,1512,51.8
41,73.3,1512,51.8
41,73.3,1512,51.8
42,73.9,1533,51.2
43,74.6,1553,50.7
44,75.1,1577,50.2
44,75.1,1577,50.2
45,75.8,1594,49.8
45,75.8,1594,49.8
46,76.2,1618,49.3
46,76.2,1618,49.3
47,76.8,1641,48.9
47,76.8,1641,48.9
47,76.8,1641,48.9
49,75.3,1601,48.0
49,75.3,1601,48.0
49,75.3,1601,48.0
49,75.3,1601,48.0
50,75.8,1624,47.6
51,76.4,1645,47.2
51,76.4,1645,47.2
51,76.4,1645,47.2
52,77,1663,46.9
53,77.6,1684,46.5
53,77.6,1684,46.5
53,77.6,1684,46.5
54,78.1,1707,46.2
54,78.1,1707,46.2
54,78.1,1707,46.2
55,77.5,1685,45.8
55,77.5,1685,45.8
55,77.5,1685,45.8
55,77.5,1685,45.8
56,76.9,1665,45.5
56,76.9,1665,45.5
57,77.4,1681,45.2
58,77.9,1700,44.8
58,77.9,1700,44.8
59,78.3,1717,44.5
59,78.3,1717,44.5
59,78.3,1717,44.5
59,78.3,1717,44.5
60,77.7,1694,44.2
60,77.7,1694,44.2
60,77.7,1694,44.2
60,77.7,1694,44.2
60,77.7,1694,44.2
61,78.1,1711,43.9
61,78.1,1711,43.9
61,78.1,1711,43.9
61,78.1,1711,43.9
61,78.1,1711,43.9
61,78.1,1711,43.9
62,78.5,1730,43.6
63,79,1752,43.3
63,79,1752,43.3
64,78.6,1729,43.0
64,78.6,1729,43.0
65,79.1,1751,42.8
65,79.1,1751,42.8
65,79.1,1751,42.8
65,79.1,1751,42.8
66,79.6,1772,42.6
66,79.6,1772,42.6
67,79.9,1790,42.3
67,79.9,1790,42.3
67,79.9,1790,42.3
67,79.9,1790,42.3
67,79.9,1790,42.3
68,79.4,1767,42.0
68,79.4,1767,42.0
68,79.4,1767,42.0
69,79.8,1789,41.8
70,80.3,1812,41.6
70,80.3,1812,41.6
70,80.3,1812,41.6
71,80.7,1832,41.3
71,80.7,1832,41.3
72,80.3,1812,41.1
73,79.9,1788,40.9
73,79.9,1788,40.9
73,79.9,1788,40.9
73,79.9,1788,40.9
73,79.9,1788,40.9
73,79.9,1788,40.9
74,80.3,1807,40.7
