agent,bucket,count,wins,winrate
FoulPlay,foul_play_attack_or_other,4504,914,0.20293072824156305
FoulPlay,foul_play_boom,83,19,0.2289156626506024
FoulPlay,foul_play_paralysis,1136,218,0.19190140845070422
FoulPlay,foul_play_recovery,649,109,0.1679506933744222
FoulPlay,foul_play_sleep,31,5,0.16129032258064516
TaurosV0,chansey_mirror,13,13,1.0
TaurosV0,explosion_opportunity,229,184,0.8034934497816594
TaurosV0,forced_switch,294,243,0.826530612244898
TaurosV0,low_hp_endgame,1287,995,0.7731157731157731
TaurosV0,other,63,49,0.7777777777777778
TaurosV0,paralysis_spread,2976,2315,0.7778897849462365
TaurosV0,recovery_loop,33,30,0.9090909090909091
TaurosV0,sleep_pressure,1109,888,0.8007213706041478
TaurosV0,snorlax_trade,5,1,0.2
TaurosV0,tauros_endgame,329,258,0.78419452887538
