agent,bucket,count,wins,winrate
TaurosV0,chansey_mirror,3,3,1.0
TaurosV0,explosion_opportunity,50,48,0.96
TaurosV0,forced_switch,104,89,0.8557692307692307
TaurosV0,low_hp_endgame,386,290,0.7512953367875648
TaurosV0,other,10,10,1.0
TaurosV0,paralysis_spread,929,682,0.7341227125941873
TaurosV0,recovery_loop,12,9,0.75
TaurosV0,sleep_pressure,261,223,0.8544061302681992
TaurosV0,tauros_endgame,98,88,0.8979591836734694
FoulPlay,foul_play_attack_or_other,1271,213,0.16758457907159716
FoulPlay,foul_play_boom,27,7,0.25925925925925924
FoulPlay,foul_play_paralysis,389,50,0.12853470437017994
FoulPlay,foul_play_recovery,171,8,0.04678362573099415
FoulPlay,foul_play_sleep,6,0,0.0
